Crop,Week,Temp_C,Humidity_RH,pH_Water,N_ppm,P_ppm,K_ppm,EC_Target
melon,4,39.53,55.73,6.28,99.92,43.42,243.83,0.747
bean,5,15.46,73.65,6.32,146.7,53.35,206.7,0.784
pepper,3,19.97,44.98,6.48,114.47,37.24,134.47,0.552
bean,3,28.01,71.83,7.2,143.44,51.72,203.42,0.769
arugula,3,8.63,61.49,5.27,171.79,43.89,213.79,0.828
tomato,5,21.19,69.92,5.63,199.54,59.77,279.54,1.039
spinach,4,19.72,46.95,6.86,175.82,57.91,245.82,0.925
arugula,3,33.74,70.28,5.34,120.11,26.94,153.22,0.579
bean,3,12.64,93.45,5.64,155.19,56.6,218.19,0.829
melon,3,24.03,47.15,6.9,145.41,52.71,185.41,0.74
basil,1,25.39,63.42,7.08,108.97,34.48,108.97,0.487
zucchini,4,20.67,46.07,6.11,185.63,62.82,305.63,1.069
eggplant,7,27.5,76.53,7.12,166.37,68.18,346.37,1.12
arugula,4,29.64,82.43,4.99,131.15,33.54,163.19,0.632
strawberry,11,35.17,64.16,6.14,92.86,42.51,171.35,0.592
mint,4,23.92,76.06,5.63,195.34,52.67,225.34,0.913
mint,10,21.41,58.51,5.25,189.49,49.74,219.49,0.885
basil,6,22.07,76.66,5.81,152.94,41.47,182.94,0.728
strawberry,19,28.42,57.08,4.94,85.06,38.34,168.8,0.564
pepper,2,28.16,46.13,6.6,121.74,40.97,141.65,0.587
mint,7,28.37,50.33,5.74,194.8,52.9,224.46,0.911
bean,6,23.35,36.61,6.81,140.08,52.04,194.08,0.745
pepper,2,19.44,54.86,7.47,123.37,41.68,143.37,0.595
pak_choi,2,22.53,74.32,5.93,92.51,36.26,112.51,0.465
melon,11,29.11,60.46,5.61,152.79,66.73,365.46,1.128
tomato,12,22.82,82.29,5.16,163.28,76.64,373.28,1.183
pak_choi,2,28.48,53.56,6.12,106.9,43.59,126.61,0.534
bean,8,24.89,81.23,5.07,142.83,51.41,202.83,0.766
strawberry,18,22.72,54.67,5.61,108.91,49.46,208.91,0.708
arugula,5,38.96,81.15,5.62,115.67,30.99,142.52,0.558
zucchini,9,35.49,44.24,6.52,136.5,44.99,229.53,0.793
pepper,14,31.77,67.5,6.48,148.93,56.73,290.84,0.958
bean,8,24.13,60.51,5.57,138.39,49.2,198.39,0.744
pepper,13,21.12,59.94,5.07,158.13,59.07,318.13,1.032
basil,7,17.61,55.36,6.11,146.07,38.03,176.07,0.695
bean,1,17.41,47.59,6.32,120.2,40.1,120.2,0.541
eggplant,15,35.63,67.58,6.74,136.11,56.49,274.91,0.902
zucchini,7,19.32,49.09,6.84,182.45,61.23,302.45,1.053
basil,2,18.16,52.09,5.94,102.36,31.18,102.36,0.455
melon,2,34.75,67.68,5.04,108.26,38.18,140.16,0.553
pak_choi,1,21.9,66.02,8.0,82.88,32.94,99.88,0.416
tomato,6,34.06,73.96,7.48,155.75,45.15,221.21,0.814
tomato,12,11.12,57.37,4.9,152.33,71.66,341.33,1.09
spinach,4,33.47,56.8,4.88,124.83,41.84,172.84,0.655
eggplant,7,29.56,65.55,5.2,159.43,65.42,331.01,1.072
bean,8,22.6,70.15,6.67,139.52,49.76,199.52,0.75
zucchini,10,22.78,66.24,6.19,175.64,57.82,295.64,1.02
basil,8,20.49,41.95,6.47,144.2,37.1,174.2,0.686
mint,5,20.77,90.61,7.15,189.03,49.52,219.03,0.882
lettuce,7,13.77,61.78,4.55,138.38,42.19,174.38,0.685
melon,1,22.17,50.78,7.18,132.84,46.42,172.84,0.679
strawberry,7,19.82,69.59,7.24,102.23,46.11,202.23,0.676
pepper,13,14.08,73.18,5.04,170.57,64.28,338.57,1.106
melon,5,17.04,60.21,7.59,137.68,60.34,324.68,1.008
melon,6,30.48,70.28,7.56,114.35,49.42,284.98,0.865
melon,4,17.33,68.04,5.08,158.84,69.42,378.84,1.171
cilantro,3,24.46,52.65,5.94,138.22,39.11,178.22,0.686
lettuce,3,27.71,62.63,7.19,153.08,46.54,193.08,0.757
basil,1,28.91,72.97,5.76,104.44,32.77,104.44,0.466
lettuce,7,30.46,71.97,5.63,147.74,46.09,184.79,0.73
basil,1,18.69,42.81,6.55,101.73,30.86,101.73,0.452
pak_choi,4,23.7,33.95,6.66,157.89,56.44,229.89,0.857
tomato,10,20.74,45.02,6.75,169.82,79.91,379.82,1.214
tomato,10,22.05,76.94,6.38,176.78,83.39,386.78,1.248
pepper,8,19.06,76.32,7.3,160.74,60.37,320.74,1.045
pepper,3,11.05,65.16,6.16,124.52,41.26,145.52,0.6
cilantro,3,20.4,47.21,4.14,120.71,34.86,154.71,0.598
cucumber,1,21.66,81.86,5.22,113.91,36.95,143.91,0.568
bean,1,19.8,65.74,6.1,125.06,42.53,125.06,0.564
spinach,2,22.06,75.06,6.09,108.15,34.08,128.15,0.521
pak_choi,6,22.05,72.91,5.35,168.88,59.44,248.88,0.92
mint,9,23.89,53.42,7.2,191.87,50.93,221.87,0.896
strawberry,20,17.72,41.01,5.12,108.24,49.12,208.24,0.705
cucumber,8,32.81,86.27,8.08,142.43,50.05,248.29,0.85
cucumber,1,33.64,54.11,5.07,105.15,35.96,130.08,0.523
cilantro,2,14.66,45.91,6.0,87.33,33.17,108.33,0.441
basil,5,20.69,70.13,6.74,151.06,40.53,181.06,0.719
bean,8,31.98,52.08,6.74,121.79,43.28,174.62,0.655
cilantro,6,20.03,51.16,5.5,136.34,38.17,176.34,0.677
zucchini,10,16.01,72.11,7.18,180.71,60.35,300.71,1.045
mint,9,25.92,68.02,7.67,160.5,42.0,186.0,0.749
tomato,10,16.68,78.13,6.48,175.02,82.51,385.02,1.239
arugula,4,20.41,62.69,6.17,165.15,42.57,205.15,0.796
cucumber,2,21.86,78.59,5.32,115.54,37.77,145.54,0.576
eggplant,6,27.31,62.93,6.36,176.68,73.34,356.68,1.17
tomato,8,22.07,84.06,5.98,167.12,78.56,377.12,1.201
mint,10,14.46,63.21,6.0,209.25,57.37,240.75,0.978
spinach,5,21.78,61.5,6.37,178.74,59.37,248.74,0.939
spinach,6,27.51,77.28,6.45,181.66,60.83,251.66,0.953
lettuce,6,24.33,65.5,6.16,155.14,47.57,195.14,0.767
bean,4,28.06,82.27,5.8,147.2,53.63,207.09,0.787
cucumber,7,24.3,28.72,7.19,185.42,65.71,320.42,1.102
strawberry,6,18.11,88.65,5.41,101.77,45.89,201.77,0.674
spinach,3,18.36,84.47,5.87,186.39,63.19,256.39,0.976
cucumber,10,31.54,70.46,6.71,172.88,59.63,306.95,1.04
mint,1,9.79,74.08,6.71,109.89,33.95,109.89,0.489
arugula,1,17.56,58.61,5.75,101.83,30.91,121.83,0.491
cucumber,5,37.46,56.83,5.9,142.97,50.0,250.4,0.855
spinach,1,32.56,66.87,6.82,90.83,28.15,108.09,0.438
pepper,11,11.29,48.56,8.01,148.97,56.49,292.97,0.961
eggplant,4,35.13,76.24,7.56,76.51,31.89,95.59,0.393
tomato,4,14.48,71.29,5.2,209.91,62.95,293.91,1.093
eggplant,1,20.8,33.12,5.76,104.13,43.07,131.13,0.537
bean,2,30.87,73.3,5.56,110.1,36.77,110.1,0.496
tomato,5,15.6,37.06,5.45,184.19,56.09,256.19,0.957
pak_choi,6,18.82,68.39,6.15,169.79,59.9,249.79,0.925
cilantro,2,9.59,81.7,5.41,79.81,29.41,100.81,0.405
tomato,10,13.22,41.01,4.72,157.93,74.47,346.93,1.117
eggplant,15,20.17,67.06,5.91,168.96,69.48,348.96,1.133
cucumber,11,17.41,51.85,6.45,200.88,70.44,350.88,1.2
cilantro,2,28.7,66.92,7.03,80.06,30.24,99.64,0.405
mint,2,29.84,71.97,5.58,95.34,28.78,95.34,0.423
arugula,1,19.52,56.7,6.44,90.8,25.4,110.8,0.438
lettuce,7,34.16,39.15,7.73,85.23,25.66,107.83,0.422
arugula,5,26.61,51.13,5.35,158.78,39.39,198.78,0.766
bean,8,28.35,54.72,6.42,141.03,50.72,200.4,0.756
mint,6,21.81,54.52,5.46,190.24,50.12,220.24,0.888
strawberry,2,28.89,61.03,6.23,92.63,41.45,121.83,0.494
cucumber,2,27.77,88.86,6.71,119.44,39.72,149.44,0.595
zucchini,3,23.46,46.59,6.98,179.16,59.58,299.16,1.037
pepper,1,22.48,55.99,6.04,117.91,38.95,137.91,0.568
cucumber,11,28.57,55.61,6.37,190.18,65.61,337.62,1.144
basil,5,36.27,58.0,7.04,109.92,28.64,132.47,0.523
cilantro,3,14.15,96.33,7.25,141.06,39.03,183.06,0.7
pepper,12,35.25,51.58,6.25,126.99,47.84,252.19,0.824
pak_choi,4,16.08,60.03,5.63,160.83,55.42,240.83,0.882
melon,8,24.42,48.52,7.67,130.89,56.95,317.89,0.975
zucchini,6,26.03,46.87,7.12,180.16,60.08,300.16,1.042
arugula,5,15.27,60.38,6.97,157.71,38.85,197.71,0.76
lettuce,4,18.78,88.32,5.64,160.43,50.21,200.43,0.793
zucchini,2,24.85,49.37,6.08,125.16,47.58,155.16,0.632
basil,1,30.78,48.93,5.73,89.07,26.2,89.07,0.394
pak_choi,4,15.22,57.11,5.03,171.41,60.7,251.41,0.933
mint,2,23.7,43.97,4.19,83.58,24.79,83.58,0.37
arugula,4,27.0,66.46,6.83,163.22,41.61,203.22,0.787
pak_choi,5,29.14,63.87,6.59,162.46,57.08,239.72,0.886
pak_choi,3,14.25,52.58,7.31,180.6,64.05,264.6,0.982
lettuce,4,28.82,62.59,6.47,152.42,46.95,191.43,0.754
spinach,3,20.31,68.1,5.67,173.07,56.53,243.07,0.912
zucchini,6,28.75,56.51,5.92,174.41,57.88,291.71,1.011
pepper,3,22.15,80.59,6.45,116.58,38.29,136.58,0.562
lettuce,5,31.75,51.11,7.22,143.1,44.92,178.6,0.707
zucchini,7,13.95,59.36,5.94,185.15,61.08,311.15,1.075
melon,4,22.14,52.61,6.59,166.96,73.48,386.96,1.21
spinach,2,26.77,66.01,5.1,96.66,28.33,116.66,0.466
zucchini,5,19.89,70.69,5.71,175.05,57.53,295.05,1.018
zucchini,5,31.96,43.64,5.74,153.61,50.37,259.35,0.894
cilantro,4,13.47,54.19,6.34,141.04,39.02,183.04,0.7
strawberry,15,25.13,56.33,5.24,103.29,46.64,203.29,0.681
melon,5,21.42,56.27,7.31,152.68,66.34,372.68,1.141
mint,9,25.23,93.71,6.5,191.55,50.77,221.55,0.895
arugula,1,26.85,76.52,6.26,103.89,31.95,123.89,0.501
zucchini,4,21.59,47.07,5.8,180.47,60.24,300.47,1.044
bean,3,21.87,62.25,6.41,139.87,49.94,199.87,0.752
zucchini,5,33.01,49.61,7.2,153.29,51.16,255.26,0.887
melon,9,21.03,73.44,5.45,156.84,68.42,376.84,1.161
lettuce,7,25.27,67.96,6.06,162.6,51.3,202.6,0.803
tomato,8,20.85,37.66,4.82,126.13,59.32,283.63,0.905
mint,1,26.05,30.23,6.07,82.26,23.13,82.26,0.362
cucumber,4,13.88,52.81,6.6,213.33,75.16,370.83,1.272
bean,3,15.85,57.67,5.74,142.62,51.31,202.62,0.765
pepper,9,21.44,86.19,6.69,158.44,59.22,318.44,1.034
lettuce,3,15.56,61.74,5.58,166.53,53.26,206.53,0.822
arugula,1,25.97,79.76,6.5,98.06,29.03,118.06,0.473
basil,2,25.08,52.48,6.82,100.83,30.41,100.83,0.448
bean,9,22.03,62.19,6.55,139.01,49.5,199.01,0.747
lettuce,1,23.73,51.12,6.75,90.98,30.49,100.98,0.429
mint,8,29.29,51.59,7.68,147.58,37.28,171.92,0.688
melon,9,18.04,86.76,7.35,153.41,66.7,373.41,1.145
bean,9,35.22,51.99,5.23,113.34,41.0,160.34,0.607
zucchini,2,13.39,77.25,4.79,114.27,43.64,141.27,0.577
mint,8,19.61,35.66,6.8,176.18,47.59,203.18,0.823
eggplant,16,22.82,50.71,6.98,170.08,70.04,350.08,1.138
bean,7,28.68,71.47,5.19,132.12,46.47,190.89,0.713
zucchini,9,21.25,47.13,6.38,184.95,62.48,304.95,1.065
lettuce,6,23.16,89.2,6.83,164.3,52.15,204.3,0.811
bean,3,24.7,68.51,7.92,121.55,43.78,172.55,0.652
lettuce,5,14.94,76.57,6.82,171.33,54.16,213.33,0.846
basil,2,21.85,57.8,6.1,103.85,31.92,103.85,0.462
cucumber,3,31.31,73.01,5.95,170.51,58.23,305.61,1.031
bean,7,24.5,52.92,7.79,120.43,43.21,171.43,0.646
arugula,4,27.27,52.62,5.9,160.74,40.37,200.74,0.775
mint,8,19.09,69.87,6.3,186.3,48.15,216.3,0.869
tomato,5,18.76,59.36,5.22,200.07,60.03,280.07,1.042
spinach,5,26.45,41.55,5.85,176.85,58.42,246.85,0.93
melon,2,21.65,55.3,6.51,135.99,48.0,175.99,0.694
mint,5,20.83,29.66,5.02,163.83,41.41,190.83,0.764
lettuce,3,23.66,65.02,5.75,167.77,53.89,207.77,0.828
tomato,6,27.16,73.66,6.03,207.3,63.65,287.3,1.077
bean,1,14.41,64.6,7.19,120.81,39.4,120.81,0.542
melon,12,21.24,50.66,6.29,163.21,71.6,383.21,1.192
zucchini,7,25.1,81.39,4.57,154.65,51.82,256.65,0.893
melon,8,27.31,70.28,6.72,162.21,71.11,382.21,1.187
arugula,5,20.58,63.93,6.12,168.73,44.37,208.73,0.814
mint,1,20.38,10.19,7.13,91.4,27.7,91.4,0.406
cucumber,12,22.47,91.7,5.95,198.74,69.37,348.74,1.19
cucumber,5,20.96,74.62,5.79,193.65,66.82,343.65,1.165
tomato,8,25.51,56.77,5.58,174.79,82.39,384.79,1.238
mint,10,11.91,60.18,7.34,198.19,51.85,229.69,0.925
bean,7,26.48,43.25,7.46,137.83,48.91,197.83,0.742
pepper,14,13.16,37.57,6.36,153.47,57.73,305.47,0.996
eggplant,6,19.42,59.95,5.43,177.35,73.67,357.35,1.173
pepper,10,21.45,66.65,6.11,159.32,59.66,319.32,1.038
tomato,12,19.4,76.79,6.12,166.22,78.11,376.22,1.197
pak_choi,2,20.16,52.11,6.0,104.45,42.23,124.45,0.523
spinach,4,14.98,93.4,6.52,190.75,63.88,264.25,1.001
cucumber,7,17.95,78.72,6.91,196.21,68.11,346.21,1.177
tomato,15,20.74,51.87,5.12,170.12,80.06,380.12,1.216
cucumber,8,26.02,36.7,7.36,182.55,64.28,317.55,1.088
basil,4,24.61,41.19,6.23,142.98,36.49,172.98,0.68
melon,11,35.05,55.93,6.04,113.42,48.82,286.89,0.866
zucchini,10,24.16,60.1,4.74,151.77,50.38,253.77,0.879
pepper,13,15.29,75.06,7.28,161.4,60.7,321.4,1.048
bean,2,22.82,45.25,7.62,99.8,32.9,99.8,0.448
eggplant,11,26.21,53.25,5.13,176.23,73.12,356.23,1.168
cucumber,2,25.84,50.86,6.52,119.44,39.72,149.44,0.595
arugula,4,19.64,79.21,6.18,159.68,39.84,199.68,0.77
arugula,2,24.48,58.08,6.59,104.93,32.46,124.93,0.506
tomato,8,21.9,42.03,7.62,147.23,69.36,325.73,1.046
cucumber,3,19.91,59.49,5.56,197.33,68.66,347.33,1.183
strawberry,17,19.09,71.17,6.87,108.99,49.49,208.99,0.709
pak_choi,6,32.73,56.29,5.92,151.71,54.4,220.36,0.822
bean,8,18.32,49.9,6.38,135.95,47.97,195.95,0.733
pepper,3,19.89,50.24,4.61,96.19,31.1,113.19,0.464
spinach,6,22.4,48.28,5.86,181.64,60.82,251.64,0.953
arugula,4,27.42,57.33,5.19,160.57,40.29,200.57,0.774
mint,4,28.31,63.64,6.0,173.56,42.2,203.28,0.808
spinach,6,15.04,53.57,6.62,173.32,56.66,243.32,0.913
mint,2,23.54,65.92,6.63,103.45,31.73,103.45,0.46
pepper,10,33.24,69.61,5.99,137.18,51.74,272.03,0.889
pepper,11,16.13,49.12,6.86,166.61,63.3,326.61,1.073
basil,1,27.6,37.91,6.17,84.21,24.11,84.21,0.371
pepper,14,19.57,60.62,5.63,153.9,56.95,313.9,1.012
zucchini,4,22.38,71.28,6.07,180.78,60.39,300.78,1.045
zucchini,3,13.99,77.62,7.17,192.69,64.85,318.69,1.111
cilantro,6,6.83,45.87,5.17,150.15,43.58,192.15,0.744
spinach,1,34.64,62.18,6.37,85.69,26.83,101.7,0.413
arugula,4,24.19,99.54,6.22,156.87,38.43,196.87,0.756
eggplant,9,21.22,56.48,5.93,172.86,71.43,352.86,1.152
spinach,3,15.96,55.33,5.8,173.32,56.66,243.32,0.913
strawberry,15,31.12,15.73,8.17,69.63,31.53,135.27,0.456
eggplant,15,22.3,63.8,6.21,171.51,70.75,351.51,1.145
eggplant,12,15.83,93.92,7.63,146.97,60.73,299.97,0.979
cucumber,5,20.65,23.37,5.55,177.6,61.8,312.6,1.065
spinach,2,24.41,43.05,5.1,102.54,31.27,122.54,0.494
pak_choi,3,27.64,62.38,5.88,171.0,60.5,251.0,0.931
pepper,10,29.68,22.75,8.05,105.41,38.71,217.34,0.697
pak_choi,6,23.94,69.26,5.74,165.05,57.52,245.05,0.902
arugula,4,22.86,29.84,7.13,141.65,34.82,177.65,0.683
pak_choi,1,17.31,62.39,5.54,108.45,44.23,128.45,0.542
tomato,4,20.38,64.52,6.5,202.14,61.07,282.14,1.052
tomato,11,21.67,63.07,5.79,171.13,80.57,381.13,1.22
eggplant,4,27.28,67.32,5.99,127.11,53.55,157.11,0.651
melon,5,25.75,64.51,5.01,159.45,69.72,379.45,1.174
pepper,12,33.52,60.92,6.95,134.65,50.64,268.15,0.874
bean,3,19.12,60.91,5.85,140.3,50.15,200.3,0.754
eggplant,2,28.8,60.53,6.85,118.2,49.34,147.48,0.608
eggplant,11,9.75,69.44,6.6,177.49,72.99,366.49,1.19
zucchini,8,19.05,56.93,6.51,181.37,60.69,301.37,1.048
melon,5,26.69,43.44,6.54,169.35,74.67,389.35,1.221
melon,8,38.27,55.02,5.27,103.48,44.82,255.7,0.779
mint,6,25.46,51.47,7.14,190.01,50.0,220.01,0.887
basil,4,28.84,55.97,5.83,142.07,36.92,171.32,0.676
cilantro,6,29.99,58.42,6.2,133.29,38.43,170.9,0.661
tomato,15,20.39,83.24,6.14,172.17,81.08,382.17,1.225
eggplant,10,18.56,74.23,6.15,171.39,70.7,351.39,1.145
melon,8,29.17,48.57,7.86,141.35,62.53,320.63,1.012
spinach,1,22.51,42.2,6.05,103.17,31.58,123.17,0.497
strawberry,9,26.91,49.69,6.15,109.39,49.69,209.39,0.711
basil,2,35.14,46.52,6.36,79.02,23.79,79.02,0.351
tomato,4,21.77,47.83,5.96,193.67,56.84,273.67,1.011
pepper,4,11.19,80.14,5.94,191.8,53.9,254.8,0.965
cucumber,1,23.17,63.11,6.97,123.52,41.76,153.52,0.615
zucchini,6,15.23,46.61,6.5,175.54,57.77,295.54,1.02
cilantro,6,24.83,42.36,6.74,143.16,41.58,183.16,0.71
basil,3,19.71,15.73,8.05,104.26,25.88,126.76,0.495
mint,10,27.3,89.11,6.07,184.93,47.46,214.93,0.863
lettuce,1,27.99,45.84,5.96,81.02,25.51,91.02,0.381
cucumber,2,25.55,33.33,7.66,93.82,31.91,116.32,0.467
zucchini,5,27.55,56.71,6.52,186.38,63.19,306.38,1.072
zucchini,2,21.82,79.33,6.7,132.91,51.45,162.91,0.67
zucchini,4,22.97,63.27,6.21,184.45,62.22,304.45,1.063
pepper,4,11.06,44.52,8.12,164.55,46.28,218.55,0.828
pepper,10,17.16,82.65,6.11,160.2,60.1,320.2,1.042
eggplant,6,22.43,59.69,5.86,167.2,68.6,347.2,1.124
arugula,4,33.91,39.56,5.77,124.05,33.12,152.96,0.598
lettuce,6,31.17,70.38,6.61,147.16,46.43,183.35,0.727
cilantro,5,27.55,74.9,5.87,150.24,45.12,190.24,0.744
bean,9,23.41,60.62,6.69,140.57,50.29,200.57,0.755
lettuce,2,29.11,63.26,4.04,72.4,23.95,80.56,0.341
cucumber,2,31.49,73.35,6.31,106.2,35.19,133.06,0.529
cilantro,1,18.98,67.41,6.99,75.5,27.75,95.5,0.383
lettuce,7,14.26,43.88,5.7,161.67,49.33,203.67,0.8
strawberry,12,13.09,73.63,5.13,113.57,51.54,218.57,0.74
melon,1,13.35,79.21,6.26,146.49,52.24,188.49,0.747
zucchini,2,29.74,47.92,5.47,121.9,46.73,150.34,0.615
pak_choi,1,29.71,26.82,6.38,86.76,34.89,103.73,0.435
basil,4,25.96,71.38,7.82,130.58,35.54,156.08,0.621
cilantro,3,26.76,35.31,5.94,130.74,38.37,166.74,0.648
cilantro,3,22.93,68.36,6.51,141.24,40.62,181.24,0.7
zucchini,5,23.45,51.87,6.74,176.84,58.42,296.84,1.026
zucchini,2,23.07,78.07,5.23,128.15,49.08,158.15,0.647
basil,1,16.77,82.57,6.58,99.86,29.93,99.86,0.443
lettuce,3,17.05,56.77,6.45,158.68,49.34,198.68,0.784
basil,8,25.23,74.6,5.72,157.51,43.75,187.51,0.75
lettuce,4,34.69,24.65,5.35,111.95,34.99,139.92,0.553
tomato,4,22.35,62.36,5.32,196.49,58.24,276.49,1.024
cilantro,6,21.69,72.77,6.3,131.43,35.71,171.43,0.653
pepper,1,18.72,69.74,4.56,104.19,35.09,121.19,0.502
mint,10,21.34,49.53,5.31,194.32,52.16,224.32,0.908
pak_choi,2,34.69,83.28,6.36,71.01,27.51,86.99,0.358
eggplant,10,15.74,55.24,5.07,168.84,69.42,348.84,1.132
lettuce,2,24.83,67.92,6.23,89.13,29.57,99.13,0.42
lettuce,5,21.81,43.43,4.24,134.71,41.86,168.71,0.666
arugula,5,17.21,35.12,6.6,137.78,32.89,173.78,0.664
bean,8,19.69,61.7,5.75,143.41,51.71,203.41,0.769
bean,1,26.32,52.79,5.81,117.1,38.55,117.1,0.526
basil,5,31.96,21.26,5.45,110.06,27.69,133.5,0.523
strawberry,3,12.09,75.67,5.88,98.56,44.03,130.06,0.526
pepper,12,27.09,55.58,5.82,159.11,59.56,319.11,1.037
tomato,8,20.91,56.77,6.24,164.45,77.22,374.45,1.188
lettuce,5,28.98,62.92,6.58,150.17,45.97,189.0,0.743
pepper,1,21.58,41.5,6.33,121.65,40.83,141.65,0.587
lettuce,3,13.79,39.61,5.46,157.97,50.49,195.97,0.78
arugula,3,26.94,56.15,6.15,153.81,36.91,193.81,0.742
eggplant,14,22.61,63.52,6.48,168.87,69.44,348.87,1.132
eggplant,1,35.77,74.57,5.37,98.96,41.81,121.97,0.507
cucumber,12,30.2,61.88,6.76,187.48,65.72,327.58,1.12
pak_choi,1,10.59,54.59,5.31,107.91,43.46,128.91,0.541
bean,2,26.4,58.16,7.67,105.31,35.65,105.31,0.475
lettuce,3,19.65,38.34,6.83,133.4,39.7,169.4,0.661
mint,6,28.05,55.31,6.19,191.4,50.77,221.36,0.894
basil,4,21.5,50.49,6.29,155.6,42.8,185.6,0.741
pak_choi,6,31.46,55.27,7.95,126.15,44.42,185.85,0.687
pak_choi,4,22.3,73.91,6.08,177.81,63.91,257.81,0.963
pepper,11,28.02,56.38,5.45,158.54,59.28,318.44,1.034
cucumber,5,23.09,58.72,6.47,192.1,66.05,342.1,1.158
spinach,5,27.87,62.98,7.53,145.53,47.26,205.03,0.767
eggplant,3,33.14,51.64,5.72,98.12,40.6,123.5,0.506
cucumber,7,23.48,52.25,5.23,189.91,64.96,339.91,1.147
pak_choi,3,23.02,56.62,5.43,176.02,63.01,256.02,0.955
spinach,2,29.87,60.97,6.22,94.47,28.36,113.35,0.455
cilantro,2,28.16,82.36,7.89,71.4,27.25,88.31,0.361
cucumber,3,9.99,63.55,5.43,213.45,75.22,370.95,1.272
mint,6,15.28,87.78,6.64,199.82,54.91,229.82,0.934
strawberry,16,18.75,54.4,5.55,107.76,48.88,207.76,0.703
cilantro,1,23.2,49.91,6.92,81.73,30.87,101.73,0.413
tomato,8,25.29,63.57,7.54,154.58,73.04,333.08,1.081
arugula,2,31.59,72.99,5.61,88.82,26.56,106.67,0.428
arugula,2,27.49,72.63,6.83,95.34,27.67,115.34,0.46
pak_choi,5,28.65,76.88,6.58,165.29,58.13,243.73,0.901
basil,4,17.56,57.57,7.16,152.88,41.44,182.88,0.727
pak_choi,2,14.81,58.88,5.35,108.19,43.6,129.19,0.542
cucumber,6,23.36,31.65,6.76,184.31,65.15,319.31,1.097
tomato,9,26.53,77.74,7.16,165.06,77.53,375.06,1.191
cilantro,4,21.85,73.01,6.01,144.29,42.15,184.29,0.715
melon,8,20.27,71.73,5.34,161.56,70.78,381.56,1.184
pak_choi,3,22.55,54.69,6.35,169.4,59.7,249.4,0.923
strawberry,5,24.05,68.91,6.61,112.25,51.13,212.25,0.724
zucchini,3,28.45,82.1,6.0,178.59,59.7,296.97,1.032
basil,6,18.53,41.34,5.77,148.65,39.33,178.65,0.707
zucchini,2,23.78,68.87,6.12,125.75,47.87,155.75,0.635
mint,2,19.88,56.69,6.07,102.5,31.25,102.5,0.456
lettuce,5,22.99,39.0,5.96,144.4,45.2,180.4,0.714
melon,2,13.01,55.73,8.43,118.67,41.34,154.67,0.607
strawberry,4,25.67,75.41,5.9,91.24,40.62,121.24,0.488
mint,3,26.91,36.85,6.49,180.81,49.91,207.81,0.846
basil,4,15.31,59.23,6.29,154.95,42.47,184.95,0.737
